ID_USER,ID_ASSESSMENT,ID_CLASS,YEAR,SEMESTER,ASSESSMENT_DATE_START,ASSESSMENT_TITLE,ASSESSMENT_TYPE,GRADE
1769,4408,486,2022,2,2023-03-22 21:30:00,Extras 1 - Variáveis e Estrutura Sequencial (2023),1,10
1769,4567,486,2022,2,2023-04-24 21:30:00,Lab 3 - Estrutura Condicional Encadeada,1,10
8193,4622,487,2022,2,2023-05-08 14:05:00,TP 03 – Condicionais Encadeadas (if/elif),2,10
1769,4536,486,2022,2,2023-04-19 20:00:00,TP 02:  Est. Condicional Simples e Composta ,2,0
1769,4635,486,2022,2,2023-05-10 21:30:00,Lab 4 – Repetição por Condição (while),1,10
1769,4494,486,2022,2,2023-04-11 16:00:00,Extra 2 - Estrutura Condicional Composta,1,8.75
1769,4625,486,2022,2,2023-05-08 20:00:00,TP 03 – Condicionais Encadeadas (if/elif),2,0
1769,4568,486,2022,2,2023-04-24 21:30:00,Extra 3 - Condicionais Encadeados (if/elif),1,7.5
1769,4649,486,2022,2,2023-05-10 21:30:00,Extras 4 – Repetição por Condição (while) ,1,10
1769,4675,486,2022,2,2023-05-22 20:00:00,TP 04: Estrutura de Repetição por Condição,2,10
1769,4675,486,2022,2,2023-05-22 20:00:00,TP 04: Estrutura de Repetição por Condição,2,10
1769,4750,486,2022,2,2023-06-05 20:00:00,TP 05: Vetores e Strings,2,10
1769,4798,486,2022,2,2023-06-19 20:00:00,TP 6: Estrutura de Repetição por Contagem (for),2,10
1769,4706,486,2022,2,2023-05-24 21:30:00,Lab 5 - Vetores e Strings,1,10
1769,4724,486,2022,2,2023-05-29 00:00:00,Desafios 5 - Vetores e Strings,1,7.5
1769,4379,486,2022,2,2023-03-20 21:10:00,Lab 0 - Primeiros passos com o Python,1,10
1769,4761,486,2022,2,2023-06-07 21:30:00,Lab 6 - Repetição por Contagem (for),1,10
1769,4762,486,2022,2,2023-06-07 21:30:00,Extras 6 - Repetição por Contagem (for),1,6.66667
3454,5071,523,2023,1,2023-09-28 08:00:00,TP 04: Estrutura de Repetição por Condição,2,10
1083,3071,375,2021,1,2022-01-12 18:00:00,Lab 0 – Primeiros passos com o Python - 2020,1,0
6335,3071,375,2021,1,2022-01-12 18:00:00,Lab 0 – Primeiros passos com o Python - 2020,1,0
6397,3114,374,2021,1,2022-02-10 08:00:00,Lab 3 - Estrutura Condicional Encadeada,1,0
1946,4385,485,2022,2,2023-03-20 11:00:00,Lab 0 – Primeiros passos com o Python,1,0
1946,4452,485,2022,2,2023-04-13 10:00:00,TP 01: Variáveis e Estrutura Sequencial,2,10
1946,4399,485,2022,2,2023-03-22 12:00:00,Lab 1 - Variáveis e Estrutura Sequencial,1,8.33333
1946,4527,485,2022,2,2023-04-17 10:00:00,Simulado 2 - Estrutura Condicional Composta,1,0
1946,4526,485,2022,2,2023-04-20 14:00:00,TP 02:  Est. Condicional Simples e Composta ,2,10
1946,4402,485,2022,2,2023-03-22 12:00:00,Extras 1 - Variáveis e Estrutura Sequencial (2020),1,2.72727
1946,4477,485,2022,2,2023-04-10 11:30:00,Lab 2 - Estrutura Condicional Composta,1,5
1946,4499,485,2022,2,2023-04-10 10:00:00,Extra 2 - Estrutura Condicional Composta,1,0
1946,4610,485,2022,2,2023-05-08 10:00:00,TP 03 – Condicionais Encadeadas (if/elif),2,10
1946,4553,485,2022,2,2023-04-24 10:50:00,Lab 3 - Estrutura Condicional Encadeada,1,3.33333
1946,4590,485,2022,2,2023-05-03 10:00:00,Simulado 3 - Condicionais Encadeados (if/elif),1,0
1946,4629,485,2022,2,2023-05-10 12:00:00,Lab 4 – Repetição por Condição (while),1,0
8873,4898,529,2023,1,2023-08-02 14:00:00,Extra 1 - Variáveis e Estrutura Sequencial,1,10
8771,5022,528,2023,1,2023-09-12 19:30:00,Lab 4 – Repetição por Condição (while),1,10
6402,3110,377,2021,1,2022-02-08 14:00:00,Lab 3 – Condicionais Encadeados (if/elif),1,4.16667
6453,3077,377,2021,1,2022-01-14 08:00:00,Lab 1 - Variáveis e Estrutura Sequencial,1,10
2150,3928,439,2022,1,2022-10-26 16:00:00,Lab 0 – Primeiros passos com o Python - 2020,1,3.75
2150,3946,439,2022,1,2022-10-31 17:40:00,Lab 1 - Variáveis e Estrutura Sequencial,1,0
2150,4065,439,2022,1,2022-12-12 17:30:00,Extra 3 - Condicionais Encadeados (if/elif),1,0
8395,4387,488,2022,2,2023-03-21 08:00:00,Lab 0 – Primeiros passos com o Python - 2023,1,10
2150,4408,486,2022,2,2023-03-22 21:30:00,Extras 1 - Variáveis e Estrutura Sequencial (2023),1,0
2150,4379,486,2022,2,2023-03-20 21:10:00,Lab 0 - Primeiros passos com o Python,1,0
2150,4379,486,2022,2,2023-03-20 21:10:00,Lab 0 - Primeiros passos com o Python,1,0
2150,4487,486,2022,2,2023-04-10 21:30:00,Lab 2 - Estrutura Condicional Composta,1,4.375
